1,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2022 and April-June 2022"
1,"h","","","","","","","",""
1,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","April 1","","","","","",""
1,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",12000,12000,1500,13,4600,1900,16
1,"d","Arizona",31000,32000,4300,13,17500,2800,9
1,"d","Arkansas",19000,23000,3200,14,6500,1200,5
1,"d","California",980000,1040000,107000,10,152000,120000,12
1,"d","Colorado",8000,19500,1400,7,8000,2300,12
1,"d","Connecticut",4100,4100,30,1,230,30,1
1,"d","Florida",295000,310000,46000,15,56000,44000,14
1,"d","Georgia",128000,131000,26000,20,27000,47000,36
1,"d","Idaho",103000,111000,19000,17,35000,8500,8
1,"d","",,,,,,,
1,"d","Illinois",9000,9500,1100,12,4300,2100,22
1,"d","Indiana",8000,10000,1600,16,5500,620,6
1,"d","Iowa",27000,49000,2300,5,5000,2400,5
1,"d","Kansas",4800,4900,720,15,5500,580,12
1,"d","Kentucky",7500,10500,610,6,3600,460,4
1,"d","Louisiana",42000,42000,1900,5,9500,11500,27
1,"d","Maine",7500,19500,890,5,1300,300,2
1,"d","Maryland",7500,8500,390,5,1600,1100,13
1,"d","Massachusetts",5500,10500,270,3,1200,890,8
1,"d","Michigan",69000,88000,3200,4,13000,3500,4
1,"d","",,,,,,,
1,"d","Minnesota",102000,110000,1500,1,6000,2000,2
1,"d","Mississippi",46000,47000,9000,19,15500,7000,15
1,"d","Missouri",10500,10500,1500,14,6000,4800,46
1,"d","Montana",41000,106000,960,1,6000,8000,8
1,"d","Nebraska",19000,46000,2400,5,11000,5000,11
1,"d","New Jersey",16000,19000,140,1,2600,70,"(Z)"
1,"d","New Mexico",7000,7000,1600,23,4200,2200,31
1,"d","New York",35000,57000,2000,4,6000,4300,8
1,"d","North Carolina",25000,30000,1200,4,7500,3300,11
1,"d","North Dakota",77000,495000,17000,3,15000,8500,2
1,"d","",,,,,,,
1,"d","Ohio",15500,15500,400,3,4400,1200,8
1,"d","Oklahoma",12500,20000,10000,50,10500,2100,11
1,"d","Oregon",94000,96000,13000,14,12500,19500,20
1,"d","Pennsylvania",23000,24000,730,3,7000,2300,10
1,"d","South Carolina",22000,23000,2500,11,3500,3200,14
1,"d","South Dakota",13500,177000,4200,2,2000,19000,11
1,"d","Tennessee",9500,11500,4400,38,9000,1200,10
1,"d","Texas",345000,415000,46000,11,42000,113000,27
1,"d","Utah",23000,29000,4600,16,8500,5000,17
1,"d","Vermont",7500,8500,150,2,3300,160,2
1,"d","",,,,,,,
1,"d","Virginia",9000,10500,580,6,2900,680,6
1,"d","Washington",97000,109000,14000,13,12500,23000,21
1,"d","West Virginia",5000,7500,260,3,2400,2600,35
1,"d","Wisconsin",52000,62000,1600,3,7000,1300,2
1,"d","Wyoming",8000,26000,1900,7,4900,1800,7
1,"d","",,,,,,,
1,"d","Other States 5/",26390,32390,540,2,3630,2500,8
1,"d","",,,,,,,
1,"d","United States",2909290,"(X)",363570,13,573160,494890,17
1,"c",""
1,"f","(X)  Not applicable."
1,"f","(Z)  Less than half of the unit shown."
1,"f","1/ April 1 colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 colonies."
1,"f","5/ Includes data for States not published in this table."
