8,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: October 1, 2022 and October-December 2022"
8,"h","","","","","","","",""
8,"h","","","October-December","October-December","October-December","October-December","October-December","October-December"
8,"h","State","October 1","","","","","",""
8,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
8,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
8,"h","","","","","","","",""
8,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
8,"d","Alabama",11000,11000,1100,10,900,560,5
8,"d","Arizona",25000,37000,5000,14,1500,570,2
8,"d","Arkansas",12500,22000,940,4,110,30,"(Z)"
8,"d","California",660000,1050000,60000,6,30000,58000,6
8,"d","Colorado",18000,20000,2000,10,1100,70,"(Z)"
8,"d","Connecticut",4100,4100,330,8,20,40,1
8,"d","Florida",270000,300000,61000,20,30000,40000,13
8,"d","Georgia",109000,133000,30000,23,18000,17000,13
8,"d","Idaho",99000,154000,22000,14,40000,6000,4
8,"d","",,,,,,,
8,"d","Illinois",10000,11000,1600,15,80,460,4
8,"d","Indiana",12500,12500,2200,18,300,1200,10
8,"d","Iowa",15500,51000,1700,3,80,90,"(Z)"
8,"d","Kansas",6000,6000,860,14,100,130,2
8,"d","Kentucky",13500,15500,2300,15,130,630,4
8,"d","Louisiana",32000,34000,3100,9,170,640,2
8,"d","Maine",4900,4900,150,3,-,60,1
8,"d","Maryland",4900,5000,520,10,1400,20,"(Z)"
8,"d","Massachusetts",6000,6000,260,4,140,160,3
8,"d","Michigan",73000,73000,5500,8,8500,700,1
8,"d","",,,,,,,
8,"d","Minnesota",99000,99000,4600,5,150,110,"(Z)"
8,"d","Mississippi",18000,31000,3600,12,2900,250,1
8,"d","Missouri",4900,7000,380,5,220,300,4
8,"d","Montana",98000,101000,4500,4,2300,6000,6
8,"d","Nebraska",29000,47000,5500,12,1100,300,1
8,"d","New Jersey",20000,20000,1000,5,730,70,"(Z)"
8,"d","New Mexico",9500,9500,920,10,20,180,2
8,"d","New York",62000,62000,14000,23,740,1600,3
8,"d","North Carolina",26000,29000,3400,12,-,480,2
8,"d","North Dakota",385000,390000,39000,10,11500,4200,1
8,"d","",,,,,,,
8,"d","Ohio",17500,17500,920,5,700,1200,7
8,"d","Oklahoma",2300,16500,180,1,-,-,-
8,"d","Oregon",83000,83000,15000,18,10000,110,"(Z)"
8,"d","Pennsylvania",30000,30000,3500,12,250,1100,4
8,"d","South Carolina",12500,15500,1700,11,500,910,6
8,"d","South Dakota",175000,175000,27000,15,20,10,"(Z)"
8,"d","Tennessee",8500,10500,1400,13,1700,620,6
8,"d","Texas",210000,260000,7500,3,720,2200,1
8,"d","Utah",25000,26000,1800,7,990,250,1
8,"d","Vermont",10000,10000,370,4,400,-,-
8,"d","",,,,,,,
8,"d","Virginia",9000,10500,1300,12,300,750,7
8,"d","Washington",84000,89000,7500,8,540,220,"(Z)"
8,"d","West Virginia",7500,8000,1100,14,-,220,3
8,"d","Wisconsin",26000,47000,3500,7,140,380,1
8,"d","Wyoming",19500,21000,3200,15,640,-,-
8,"d","",,,,,,,
8,"d","Other States 5/",30030,30030,480,2,1190,130,"(Z)"
8,"d","",,,,,,,
8,"d","United States",2888130,"(X)",353910,12,170280,147950,5
8,"c",""
8,"f","-  Represents zero."
8,"f","(X)  Not applicable."
8,"f","(Z)  Less than half of the unit shown."
8,"f","1/ October 1 colonies plus all colonies moved into that state during the quarter."
8,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the October 1 colonies."
8,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
8,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the October 1 colonies."
8,"f","5/ Includes data for States not published in this table."
