5,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2022 and January-March 2022"
5,"h","","","","","","","",""
5,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
5,"h","State","January 1","","","","","",""
5,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
5,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
5,"h","","","","","","","",""
5,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
5,"d","Alabama",7500,11500,1100,10,1600,520,5
5,"d","Arizona",25000,32000,2300,7,720,10,"(Z)"
5,"d","Arkansas",18500,21000,2600,12,780,20,"(Z)"
5,"d","California",1060000,1520000,162000,11,139000,95000,6
5,"d","Colorado",3800,8500,540,6,-,10,"(Z)"
5,"d","Connecticut",3500,4500,420,9,10,170,4
5,"d","Florida",295000,295000,24000,8,50000,13500,5
5,"d","Georgia",118000,119000,14000,12,26000,18000,15
5,"d","Idaho",194000,215000,8000,4,7500,1000,"(Z)"
5,"d","",,,,,,,
5,"d","Illinois",11500,11500,2200,19,900,140,1
5,"d","Indiana",9500,9500,2900,31,1300,30,"(Z)"
5,"d","Iowa",26000,29000,2800,10,610,30,"(Z)"
5,"d","Kansas",4000,5000,520,10,240,60,1
5,"d","Kentucky",8500,9500,1300,14,50,160,2
5,"d","Louisiana",35000,37000,6000,16,11000,2200,6
5,"d","Maine",3100,8000,340,4,-,120,2
5,"d","Maryland",6500,8500,1900,22,1100,1000,12
5,"d","Massachusetts",6000,6000,950,16,350,510,9
5,"d","Michigan",66000,71000,4500,6,1400,2500,4
5,"d","",,,,,,,
5,"d","Minnesota",78000,97000,1500,2,4800,80,"(Z)"
5,"d","Mississippi",20000,37000,3400,9,12000,2300,6
5,"d","Missouri",4800,11000,730,7,310,570,5
5,"d","Montana",45000,54000,300,1,30,-,-
5,"d","Nebraska",24000,30000,840,3,30,-,-
5,"d","New Jersey",11500,15000,550,4,1500,30,"(Z)"
5,"d","New Mexico",5500,8000,1900,24,1000,-,-
5,"d","New York",44000,44000,5500,13,370,730,2
5,"d","North Carolina",20000,24000,2300,10,3100,520,2
5,"d","North Dakota",75000,89000,120,"(Z)",300,-,-
5,"d","",,,,,,,
5,"d","Ohio",16000,16000,2400,15,1600,530,3
5,"d","Oklahoma",20000,20000,3000,15,50,3500,18
5,"d","Oregon",85000,96000,5000,5,2400,310,"(Z)"
5,"d","Pennsylvania",20000,23000,2800,12,2500,360,2
5,"d","South Carolina",17000,20000,2500,13,4500,830,4
5,"d","South Dakota",21000,28000,1000,4,40,-,-
5,"d","Tennessee",10500,10500,2300,22,1300,200,2
5,"d","Texas",270000,400000,37000,9,80000,34000,9
5,"d","Utah",28000,32000,4100,13,4600,740,2
5,"d","Vermont",7000,7500,380,5,250,-,-
5,"d","",,,,,,,
5,"d","Virginia",7500,9500,1700,18,1100,200,2
5,"d","Washington",70000,102000,7500,7,1400,6000,6
5,"d","West Virginia",4600,5000,1000,20,1000,200,4
5,"d","Wisconsin",39000,53000,2800,5,1400,240,"(Z)"
5,"d","Wyoming",6000,8000,180,2,20,-,-
5,"d","",,,,,,,
5,"d","Other States 5/",24870,30870,2310,7,620,1060,3
5,"d","",,,,,,,
5,"d","United States",2875670,"(X)",331480,12,368780,187380,7
5,"c",""
5,"f","-  Represents zero."
5,"f","(X)  Not applicable."
5,"f","(Z)  Less than half of the unit shown."
5,"f","1/ January 1 colonies plus all colonies moved into that state during the quarter."
5,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 colonies."
5,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
5,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 colonies."
5,"f","5/ Includes data for States not published in this table."
1,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2022 and April-June 2022"
1,"h","","","","","","","",""
1,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","April 1","","","","","",""
1,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",12000,12000,1500,13,4600,1900,16
1,"d","Arizona",31000,32000,4300,13,17500,2800,9
1,"d","Arkansas",19000,23000,3200,14,6500,1200,5
1,"d","California",980000,1040000,107000,10,152000,120000,12
1,"d","Colorado",8000,19500,1400,7,8000,2300,12
1,"d","Connecticut",4100,4100,30,1,230,30,1
1,"d","Florida",295000,310000,46000,15,56000,44000,14
1,"d","Georgia",128000,131000,26000,20,27000,47000,36
1,"d","Idaho",103000,111000,19000,17,35000,8500,8
1,"d","",,,,,,,
1,"d","Illinois",9000,9500,1100,12,4300,2100,22
1,"d","Indiana",8000,10000,1600,16,5500,620,6
1,"d","Iowa",27000,49000,2300,5,5000,2400,5
1,"d","Kansas",4800,4900,720,15,5500,580,12
1,"d","Kentucky",7500,10500,610,6,3600,460,4
1,"d","Louisiana",42000,42000,1900,5,9500,11500,27
1,"d","Maine",7500,19500,890,5,1300,300,2
1,"d","Maryland",7500,8500,390,5,1600,1100,13
1,"d","Massachusetts",5500,10500,270,3,1200,890,8
1,"d","Michigan",69000,88000,3200,4,13000,3500,4
1,"d","",,,,,,,
1,"d","Minnesota",102000,110000,1500,1,6000,2000,2
1,"d","Mississippi",46000,47000,9000,19,15500,7000,15
1,"d","Missouri",10500,10500,1500,14,6000,4800,46
1,"d","Montana",41000,106000,960,1,6000,8000,8
1,"d","Nebraska",19000,46000,2400,5,11000,5000,11
1,"d","New Jersey",16000,19000,140,1,2600,70,"(Z)"
1,"d","New Mexico",7000,7000,1600,23,4200,2200,31
1,"d","New York",35000,57000,2000,4,6000,4300,8
1,"d","North Carolina",25000,30000,1200,4,7500,3300,11
1,"d","North Dakota",77000,495000,17000,3,15000,8500,2
1,"d","",,,,,,,
1,"d","Ohio",15500,15500,400,3,4400,1200,8
1,"d","Oklahoma",12500,20000,10000,50,10500,2100,11
1,"d","Oregon",94000,96000,13000,14,12500,19500,20
1,"d","Pennsylvania",23000,24000,730,3,7000,2300,10
1,"d","South Carolina",22000,23000,2500,11,3500,3200,14
1,"d","South Dakota",13500,177000,4200,2,2000,19000,11
1,"d","Tennessee",9500,11500,4400,38,9000,1200,10
1,"d","Texas",345000,415000,46000,11,42000,113000,27
1,"d","Utah",23000,29000,4600,16,8500,5000,17
1,"d","Vermont",7500,8500,150,2,3300,160,2
1,"d","",,,,,,,
1,"d","Virginia",9000,10500,580,6,2900,680,6
1,"d","Washington",97000,109000,14000,13,12500,23000,21
1,"d","West Virginia",5000,7500,260,3,2400,2600,35
1,"d","Wisconsin",52000,62000,1600,3,7000,1300,2
1,"d","Wyoming",8000,26000,1900,7,4900,1800,7
1,"d","",,,,,,,
1,"d","Other States 5/",26390,32390,540,2,3630,2500,8
1,"d","",,,,,,,
1,"d","United States",2909290,"(X)",363570,13,573160,494890,17
1,"c",""
1,"f","(X)  Not applicable."
1,"f","(Z)  Less than half of the unit shown."
1,"f","1/ April 1 colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 colonies."
1,"f","5/ Includes data for States not published in this table."
7,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2022 and July-September 2022"
7,"h","","","","","","","",""
7,"h","","","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","July 1","","","","","",""
7,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",14000,14000,1900,14,870,2000,14
7,"d","Arizona",25000,25000,1900,8,2900,2100,8
7,"d","Arkansas",26000,26000,4400,17,2100,370,1
7,"d","California",590000,660000,24000,4,11000,57000,9
7,"d","Colorado",21000,24000,2800,12,5000,120,1
7,"d","Connecticut",4300,4300,90,2,80,180,4
7,"d","Florida",245000,285000,58000,20,38000,29000,10
7,"d","Georgia",118000,118000,23000,19,18500,39000,33
7,"d","Idaho",104000,112000,9500,8,3500,12000,11
7,"d","",,,,,,,
7,"d","Illinois",12500,12500,1100,9,730,770,6
7,"d","Indiana",14000,14000,650,5,370,1300,9
7,"d","Iowa",52000,53000,650,1,590,830,2
7,"d","Kansas",7000,7000,1000,14,370,140,2
7,"d","Kentucky",13500,13500,820,6,980,1400,10
7,"d","Louisiana",41000,55000,4500,8,4900,3100,6
7,"d","Maine",11000,11000,6500,59,310,350,3
7,"d","Maryland",4500,4800,510,11,600,1300,27
7,"d","Massachusetts",9000,9000,400,4,350,610,7
7,"d","Michigan",98000,98000,15500,16,8000,5500,6
7,"d","",,,,,,,
7,"d","Minnesota",105000,106000,7500,7,1700,590,1
7,"d","Mississippi",20000,21000,2700,13,2100,2800,13
7,"d","Missouri",8500,8500,660,8,250,360,4
7,"d","Montana",105000,124000,6000,5,970,2100,2
7,"d","Nebraska",51000,51000,3500,7,1100,1100,2
7,"d","New Jersey",21000,21000,1600,8,1700,210,1
7,"d","New Mexico",8500,9000,150,2,460,230,3
7,"d","New York",61000,63000,4700,7,2800,5500,9
7,"d","North Carolina",31000,33000,2600,8,2100,2500,8
7,"d","North Dakota",495000,520000,82000,16,7000,14500,3
7,"d","",,,,,,,
7,"d","Ohio",19000,19000,1100,6,900,1500,8
7,"d","Oklahoma",2100,2100,120,6,300,90,4
7,"d","Oregon",82000,97000,10500,11,2600,6500,7
7,"d","Pennsylvania",28000,30000,1600,5,1600,1200,4
7,"d","South Carolina",15500,15500,2500,16,760,700,5
7,"d","South Dakota",178000,194000,22000,11,250,2500,1
7,"d","Tennessee",9500,10500,1600,15,1300,400,4
7,"d","Texas",194000,205000,8500,4,11500,4400,2
7,"d","Utah",32000,32000,4200,13,2600,2600,8
7,"d","Vermont",10000,10000,240,2,910,1800,18
7,"d","",,,,,,,
7,"d","Virginia",12000,12000,1000,8,850,1100,9
7,"d","Washington",81000,84000,3000,4,2800,1100,1
7,"d","West Virginia",8000,8000,360,5,520,660,8
7,"d","Wisconsin",58000,58000,14000,24,4400,8000,14
7,"d","Wyoming",29000,30000,3900,13,1100,2300,8
7,"d","",,,,,,,
7,"d","Other States 5/",33430,33930,630,2,920,910,3
7,"d","",,,,,,,
7,"d","United States",3107330,"(X)",343880,11,152640,222720,7
7,"c",""
7,"f","(X)  Not applicable."
7,"f","1/ July 1 colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 colonies."
7,"f","5/ Includes data for States not published in this table."
8,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: October 1, 2022 and October-December 2022"
8,"h","","","","","","","",""
8,"h","","","October-December","October-December","October-December","October-December","October-December","October-December"
8,"h","State","October 1","","","","","",""
8,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
8,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
8,"h","","","","","","","",""
8,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
8,"d","Alabama",11000,11000,1100,10,900,560,5
8,"d","Arizona",25000,37000,5000,14,1500,570,2
8,"d","Arkansas",12500,22000,940,4,110,30,"(Z)"
8,"d","California",660000,1050000,60000,6,30000,58000,6
8,"d","Colorado",18000,20000,2000,10,1100,70,"(Z)"
8,"d","Connecticut",4100,4100,330,8,20,40,1
8,"d","Florida",270000,300000,61000,20,30000,40000,13
8,"d","Georgia",109000,133000,30000,23,18000,17000,13
8,"d","Idaho",99000,154000,22000,14,40000,6000,4
8,"d","",,,,,,,
8,"d","Illinois",10000,11000,1600,15,80,460,4
8,"d","Indiana",12500,12500,2200,18,300,1200,10
8,"d","Iowa",15500,51000,1700,3,80,90,"(Z)"
8,"d","Kansas",6000,6000,860,14,100,130,2
8,"d","Kentucky",13500,15500,2300,15,130,630,4
8,"d","Louisiana",32000,34000,3100,9,170,640,2
8,"d","Maine",4900,4900,150,3,-,60,1
8,"d","Maryland",4900,5000,520,10,1400,20,"(Z)"
8,"d","Massachusetts",6000,6000,260,4,140,160,3
8,"d","Michigan",73000,73000,5500,8,8500,700,1
8,"d","",,,,,,,
8,"d","Minnesota",99000,99000,4600,5,150,110,"(Z)"
8,"d","Mississippi",18000,31000,3600,12,2900,250,1
8,"d","Missouri",4900,7000,380,5,220,300,4
8,"d","Montana",98000,101000,4500,4,2300,6000,6
8,"d","Nebraska",29000,47000,5500,12,1100,300,1
8,"d","New Jersey",20000,20000,1000,5,730,70,"(Z)"
8,"d","New Mexico",9500,9500,920,10,20,180,2
8,"d","New York",62000,62000,14000,23,740,1600,3
8,"d","North Carolina",26000,29000,3400,12,-,480,2
8,"d","North Dakota",385000,390000,39000,10,11500,4200,1
8,"d","",,,,,,,
8,"d","Ohio",17500,17500,920,5,700,1200,7
8,"d","Oklahoma",2300,16500,180,1,-,-,-
8,"d","Oregon",83000,83000,15000,18,10000,110,"(Z)"
8,"d","Pennsylvania",30000,30000,3500,12,250,1100,4
8,"d","South Carolina",12500,15500,1700,11,500,910,6
8,"d","South Dakota",175000,175000,27000,15,20,10,"(Z)"
8,"d","Tennessee",8500,10500,1400,13,1700,620,6
8,"d","Texas",210000,260000,7500,3,720,2200,1
8,"d","Utah",25000,26000,1800,7,990,250,1
8,"d","Vermont",10000,10000,370,4,400,-,-
8,"d","",,,,,,,
8,"d","Virginia",9000,10500,1300,12,300,750,7
8,"d","Washington",84000,89000,7500,8,540,220,"(Z)"
8,"d","West Virginia",7500,8000,1100,14,-,220,3
8,"d","Wisconsin",26000,47000,3500,7,140,380,1
8,"d","Wyoming",19500,21000,3200,15,640,-,-
8,"d","",,,,,,,
8,"d","Other States 5/",30030,30030,480,2,1190,130,"(Z)"
8,"d","",,,,,,,
8,"d","United States",2888130,"(X)",353910,12,170280,147950,5
8,"c",""
8,"f","-  Represents zero."
8,"f","(X)  Not applicable."
8,"f","(Z)  Less than half of the unit shown."
8,"f","1/ October 1 colonies plus all colonies moved into that state during the quarter."
8,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the October 1 colonies."
8,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
8,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the October 1 colonies."
8,"f","5/ Includes data for States not published in this table."
11,"t","Honey Bee Colonies: Released August 1, 2023, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
11,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2023 and January-March 2023"
11,"h","","","","","","","",""
11,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
11,"h","State","January 1","","","","","",""
11,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
11,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
11,"h","","","","","","","",""
11,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
11,"d","Alabama",11000,14000,1400,10,2000,880,6
